Mean Bids Price,Mean Bids Size,Mean Asks Price,Mean Asks Size,Price After 1min
91176.42434997292,25.59331660480297,214780.50242480592,0.3161017650056597,118320.3
91193.02431423114,25.57783281427284,214685.18727162585,0.3155971369630886,118327.855
91185.94215216076,25.585145159341742,214809.8933400728,0.3159796269543065,118394.21
91208.24560328368,25.56311481079452,214928.889097166,0.3162993919627531,118426.555
91195.28741189954,25.575263919373825,214867.67982440523,0.31631884691374,118336.5
91186.7775062098,25.584380723966625,214900.6539514564,0.3164641152605178,118362.785
91203.08656906428,25.569476975772123,214874.7539135712,0.3164316980254107,118424.955
91200.66143298212,25.572061194171308,214866.46442061823,0.3161267200849652,118358.545
91207.108941607,25.565585577383928,214944.04464447685,0.3165997134118886,118387.815
91206.8452062118,25.566388802766674,214959.7700461688,0.3162845673740483,118400.455
91208.37099408131,25.56469714529912,214959.7203385712,0.3165857310489227,118387.505
91194.15799032092,25.5791968934262,214772.21311560224,0.3160416052675828,118421.92
91211.82565083203,25.562135738475288,214909.60722150264,0.3163736927396373,118426.525
91212.99390900412,25.561416682432704,214944.0526878847,0.3161860799692258,118404.165
91227.89178612312,25.546816441681823,214827.1494475451,0.3161905833859095,118430.225
91231.53485136552,25.542811881807136,214874.6361212268,0.3163906129076637,118455.415
91223.17338093118,25.550119056696985,215108.30241826884,0.3171240889948892,118469.625
91209.86843441737,25.564703996792467,214990.96888348728,0.3167512517865823,118452.49
91230.8684563289,25.54442625911004,214943.5126522513,0.3166433720618724,118438.995
91222.3363245444,25.55250569969403,214866.5777116037,0.3164086810114905,118449.285
91229.4624782194,25.545326307080128,214994.1307920311,0.3167435487536443,118415.315
91194.28161837748,25.57909430928107,214810.4823687829,0.3163613793538213,118441.65
91208.20831726334,25.565384689747336,214990.5317963053,0.3164632736549991,118370.46
91183.510608956,25.587180331345948,214849.0048179612,0.3164964928438511,118271.935
91158.7262356954,25.608770198719828,215035.37721141367,0.316144951100843,118321.845
91193.75703056352,25.577813280186884,214879.0326084493,0.3165356111201036,118316.7
91187.84790504396,25.582602435337225,214770.43670088923,0.3163463503977364,118358.405
91209.75752282776,25.560401036466544,214779.47236559133,0.3163072946325491,118312.195
91188.10531125616,25.581790477092813,215005.32259724475,0.3171222308403565,118349.105
91191.69864374404,25.5775286438596,214826.77258270647,0.3166311926069724,118346.325
91193.57483796,25.57603722953744,214849.89960194167,0.3167207428632686,118407.275
91196.15490036288,25.574234768159734,214882.2823632244,0.3167101701173519,118414.645
91214.88782803704,25.55580101333683,214938.7619167544,0.3167620570920723,118456.075
91183.2666690022,25.586345196184915,215025.1869565569,0.3171266125206678,118597.415
91215.38758064515,25.557859875531587,215082.3987219204,0.3166942193901548,118573.62
91209.65156575138,25.562140838721565,215100.42372030803,0.3172398992014593,118552.685
91203.8792638681,25.56844906481366,215050.9896027564,0.3167257269274422,118619.155
91224.38946062842,25.54996797702041,215067.9009048893,0.3168411023643882,118644.295
91216.00579627157,25.55793024524623,215076.58901962373,0.3172356024424262,118637.92
91243.78984904342,25.53219938171582,215038.2558198913,0.3171034694301694,118691.285
91228.84015835666,25.546778592444667,215061.7901864764,0.3171545212518242,118660.365
91232.54986996885,25.54203432403128,214998.8331048452,0.3170114589037433,118670.8
91222.91612664184,25.55085366276913,214967.43342459097,0.3168668396346994,118672.325
91227.799177664,25.5474333932461,215108.43470717067,0.3172555118989292,118498.225
91250.17798704188,25.516180503327824,214914.05438805243,0.3166085274882629,118517.205
91245.09010324672,25.52262963303989,215023.3966215559,0.3170026351094003,118480.285
91263.75977905464,25.50404879080664,214937.3040976439,0.3166445718573394,118122.865
91192.63645677558,25.561794080576217,214602.025160952,0.3155466817184348,118152.525
91185.00370846594,25.56908814067282,214653.7954336941,0.3159939316572444,118140.2
91209.67868517282,25.545773374603645,214560.5616669356,0.3157404151524931,118148.095
91181.685912274,25.572664109499936,214443.7861681038,0.3154721372681119,118203.31
91226.54272106248,25.52785847744511,214446.3909798549,0.3153381686712328,118217.505
91230.89877469976,25.523754965345,214276.11201496137,0.3145429340620978,118226.97
91219.40704783091,25.53425565441125,214361.3654190484,0.314460965671041,118197.615
91226.10980490594,25.52828107704912,214593.78739891856,0.3147471850609313,118233.535
91238.14518023311,25.516556210946423,214453.93220001613,0.3150122573108228,118290.275
91225.1797289482,25.530265346013024,214494.8796605933,0.3150101639019671,118521.355
91227.41969686376,25.52936709890121,214629.7310026641,0.3145414592831194,118523.8
91222.89265596696,25.53423824513046,214817.4007118013,0.3166834118862735,118577.085
91218.40367196442,25.538379925246662,214560.9386907067,0.3162707333744756,118545.795
